Region,County,District,District Name,Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay
12,BELL COUNTY,14910,TROY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,105.51,5416582,51337
16,SWISHER COUNTY,219903,TULIA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,95.53,4988646,52221
2,NUECES COUNTY,178912,TULOSO-MIDWAY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,283.74,15320822,53996
16,HALL COUNTY,96905,TURKEY-QUITAQUE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,21.99,1142509,51945
7,SMITH COUNTY,212905,TYLER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1222.59,63963056,52318
7,UPSHUR COUNTY,230908,UNION GROVE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,63.92,3267053,51116
7,UPSHUR COUNTY,230904,UNION HILL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,38.7,1999439,51661
1,WEBB COUNTY,240903,UNITED ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,2603.87,155851057,59854
13,TRAVIS COUNTY,227506,UNIVERSITY OF TEXAS AT AUSTIN H S,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,4.57,306764,67102
20,UVALDE COUNTY,232904,UTOPIA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.69,1040182,52827
20,UVALDE COUNTY,232903,UVALDE CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,275.95,14429143,52289
18,JEFF DAVIS COUNTY,122902,VALENTINE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,9.58,555233,57956
12,BOSQUE COUNTY,18904,VALLEY MILLS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,52.99,2721582,51360
11,COOKE COUNTY,49903,VALLEY VIEW ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,63.0,3363492,53385
1,HIDALGO COUNTY,108916,VALLEY VIEW ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,279.61,16510432,59048
10,GRAYSON COUNTY,91908,VAN ALSTYNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,121.46,6185475,50925
7,VAN ZANDT COUNTY,234906,VAN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,157.21,7673457,48811
3,MATAGORDA COUNTY,158906,VAN VLECK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,77.52,4682381,60404
16,OLDHAM COUNTY,180902,VEGA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,40.71,1996718,49052
11,JOHNSON COUNTY,126908,VENUS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,161.33,8048881,49890
15,TOM GREEN COUNTY,226908,VERIBEST ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,21.74,1084121,49874
9,WILBARGER COUNTY,244903,VERNON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,144.4,7106359,49213
3,VICTORIA COUNTY,235902,VICTORIA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,951.29,48161242,50627
5,ORANGE COUNTY,181907,VIDOR ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,329.25,17987905,54633
3,LAVACA COUNTY,143904,VYSEHRAD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,11.08,564013,50922
12,MCLENNAN COUNTY,161914,WACO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,991.04,53615319,54100
13,GONZALES COUNTY,89905,WAELDER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,29.12,1409978,48426
16,DEAF SMITH COUNTY,59902,WALCOTT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,9.89,562058,56837
15,TOM GREEN COUNTY,226906,WALL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,118.39,6067814,51254
4,WALLER COUNTY,237904,WALLER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,514.85,32274588,62688
11,COOKE COUNTY,49908,WALNUT BEND ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,5.84,213964,36642
12,BOSQUE COUNTY,18905,WALNUT SPRINGS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.42,1015629,52297
5,TYLER COUNTY,229904,WARREN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,96.0,5070817,52818
7,HARRISON COUNTY,102903,WASKOM ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,74.78,3798624,50799
15,TOM GREEN COUNTY,226905,WATER VALLEY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,32.58,1645749,50520
10,ELLIS COUNTY,70912,WAXAHACHIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,660.02,40059007,60693
11,PARKER COUNTY,184903,WEATHERFORD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,544.9,31883562,58513
1,WEBB COUNTY,240904,WEBB CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,29.2,1753866,60074
3,COLORADO COUNTY,45905,WEIMAR ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,58.55,2979277,50883
16,COLLINGSWORTH COUNTY,44902,WELLINGTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,57.51,2930354,50958
17,TERRY COUNTY,223904,WELLMAN-UNION CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,25.64,1168834,45592
7,CHEROKEE COUNTY,37909,WELLS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,29.23,1485739,50833
1,HIDALGO COUNTY,108913,WESLACO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1083.55,66247721,61139
5,HARDIN COUNTY,100908,WEST HARDIN COUNTY CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,44.69,2134947,47769
12,MCLENNAN COUNTY,161916,WEST ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,96.38,5367269,55686
5,ORANGE COUNTY,181906,WEST ORANGE-COVE CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,170.59,8893461,52134
2,NUECES COUNTY,178915,WEST OSO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,143.32,7653539,53401
7,RUSK COUNTY,201914,WEST RUSK COUNTY CONSOLIDATED ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,80.4,4378597,54458
7,SABINE COUNTY,202905,WEST SABINE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,49.15,2522562,51321
14,MITCHELL COUNTY,168903,WESTBROOK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,25.83,1477322,57198
3,DEWITT COUNTY,62905,WESTHOFF ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,7.26,462267,63661
12,FALLS COUNTY,73904,WESTPHALIA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,13.21,704622,53322
7,ANDERSON COUNTY,1908,WESTWOOD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,113.4,5200876,45862
3,WHARTON COUNTY,241904,WHARTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,141.91,7121123,50180
16,WHEELER COUNTY,242903,WHEELER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,42.03,2154995,51278
16,CARSON COUNTY,33904,WHITE DEER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,31.75,1481167,46655
7,GREGG COUNTY,92908,WHITE OAK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,118.35,6165507,52096
11,TARRANT COUNTY,220920,WHITE SETTLEMENT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,432.53,24618372,56917
17,COCHRAN COUNTY,40902,WHITEFACE CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,32.51,1780739,54768
7,SMITH COUNTY,212906,WHITEHOUSE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,325.96,16984112,52104
10,GRAYSON COUNTY,91909,WHITESBORO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,106.04,5679074,53555
10,GRAYSON COUNTY,91910,WHITEWRIGHT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,69.45,3694728,53203
17,HOCKLEY COUNTY,110908,WHITHARRAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,17.93,880571,49114
12,HILL COUNTY,109911,WHITNEY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,112.89,5908791,52339
9,WICHITA COUNTY,243905,WICHITA FALLS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1009.51,58118465,57571
16,OLDHAM COUNTY,180904,WILDORADO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,16.51,812820,49227
6,MONTGOMERY COUNTY,170904,WILLIS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,438.0,24938213,56937
10,VAN ZANDT COUNTY,234907,WILLS POINT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,178.56,9293440,52048
17,LYNN COUNTY,153907,WILSON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.82,852413,43004
13,HAYS COUNTY,105905,WIMBERLEY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,174.33,9671856,55480
9,ARCHER COUNTY,5904,WINDTHORST ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,34.28,1826047,53263
18,WINKLER COUNTY,248902,WINK-LOVING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,41.75,2393507,57323
7,WOOD COUNTY,250907,WINNSBORO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,114.75,5631618,49077
7,SMITH COUNTY,212910,WINONA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,88.43,4311372,48755
15,RUNNELS COUNTY,200904,WINTERS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,51.52,2400965,46601
7,NACOGDOCHES COUNTY,174906,WODEN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,63.9,3338056,52240
10,HUNT COUNTY,116909,WOLFE CITY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,59.23,3038924,51304
3,REFUGIO COUNTY,196902,WOODSBORO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,39.31,2043066,51972
9,THROCKMORTON COUNTY,224902,WOODSON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,13.98,827759,59194
5,TYLER COUNTY,229903,WOODVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,111.19,5408657,48642
12,FREESTONE COUNTY,81905,WORTHAM ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,39.81,1937843,48679
10,COLLIN COUNTY,43914,WYLIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1080.09,66953133,61989
14,TAYLOR COUNTY,221912,WYLIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,312.9,15193766,48558
7,WOOD COUNTY,250905,YANTIS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,31.68,1496110,47220
3,DEWITT COUNTY,62903,YOAKUM ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,148.81,7276394,48896
3,DEWITT COUNTY,62904,YORKTOWN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,47.56,2500057,52569
19,EL PASO COUNTY,71905,YSLETA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,2694.1,153403539,56941
1,ZAPATA COUNTY,253901,ZAPATA COUNTY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,224.49,12131028,54039
7,ANGELINA COUNTY,3906,ZAVALLA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,34.19,1853184,54199
15,BROWN COUNTY,25906,ZEPHYR ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.98,921119,46102
