Region,County,District,District Name,Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay
20,BEXAR COUNTY,15915,NORTHSIDE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,7001.95,420752587,60091
9,WILBARGER COUNTY,244905,NORTHSIDE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,18.14,938927,51751
11,DENTON COUNTY,61911,NORTHWEST ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1676.43,101773054,60708
15,EDWARDS COUNTY,69902,NUECES CANYON CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,28.26,1441056,50991
3,VICTORIA COUNTY,235904,NURSERY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,9.61,483568,50312
17,LYNN COUNTY,153903,O'DONNELL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,35.99,1785240,49600
6,LEON COUNTY,145907,OAKWOOD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.72,881094,44672
2,SAN PATRICIO COUNTY,205905,ODEM-EDROY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,65.67,3362329,51197
12,CORYELL COUNTY,50904,OGLESBY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.24,856915,44543
15,RUNNELS COUNTY,200906,OLFEN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,14.4,698354,48494
9,YOUNG COUNTY,252903,OLNEY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,67.46,3575627,53005
17,LAMB COUNTY,140905,OLTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,53.47,2593339,48501
6,POLK COUNTY,187910,ONALASKA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,83.83,4540268,54161
2,JIM WELLS COUNTY,125903,ORANGE GROVE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,120.59,6182986,51274
5,ORANGE COUNTY,181905,ORANGEFIELD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,131.55,6658688,50615
7,UPSHUR COUNTY,230903,ORE CITY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,79.38,4004134,50444
7,RUSK COUNTY,201908,OVERTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,47.9,2538220,52990
17,COTTLE COUNTY,51901,PADUCAH ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,20.49,1064242,51928
14,HASKELL COUNTY,104907,PAINT CREEK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,17.0,753955,44349
15,CONCHO COUNTY,48903,PAINT ROCK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,23.77,1187013,49931
3,MATAGORDA COUNTY,158905,PALACIOS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,101.03,5674865,56170
7,ANDERSON COUNTY,1907,PALESTINE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,257.72,12167610,47212
10,ELLIS COUNTY,70910,PALMER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,86.68,4756657,54877
11,PALO PINTO COUNTY,182906,PALO PINTO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,10.71,511783,47800
16,GRAY COUNTY,90904,PAMPA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,231.7,11567406,49924
16,CARSON COUNTY,33902,PANHANDLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,56.72,2974665,52440
15,COLEMAN COUNTY,42905,PANTHER CREEK CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,17.83,999976,56095
11,WISE COUNTY,249906,PARADISE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,97.98,5280927,53901
8,LAMAR COUNTY,139909,PARIS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,316.16,15376527,48635
4,HARRIS COUNTY,101917,PASADENA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,3736.02,222288334,59499
